Lookup,English,Українська,Español,简体中文,Test,Tagalog,Cebuano
title,Structura,Structura,Structura,Structura,test,Structura,Structura
error,Error,Помилка,Error,错误,test,Error,Sayop
browse file,You need to browse for a structure file!,Вам потрібно вибрати файл структури!,¡Necesitas encontrar un archivo de estructura!,请浏览并选择结构文件！,test,Kailangan mong pumili ng structure file!,Kinahanglan mopili og structure file!
unique tag,The Name Tag mut be unique,Іменний тег має бути унікальним,La etiqueta debe ser única,命名牌必须唯一,test,Dapat natatangi ang Name Tag,Ang Name Tag kinahanglan talagsaon
pack name error,Pack already exists or pack name is empty,Пакунок уже існує або назва порожня,El paquete ya existe o el nombre del paquete está vacío,包已存在或包名为空,test,May ganitong pack na o walang pangalan ang pack,Naa nay ingon ani nga pack o walay ngalan
no pack name,You need a Name,Вам потрібна назва,Necesitas un nombre,需填写包名,test,Kailangan ng pangalan,Kinahanglan og ngalan
no structure files,You need to add some structures,Вам потрібно додати структури,Necesitas añadir varias estructuras,请添加结构,test,Kailangan mong magdagdag ng mga structure,Kinahanglan magdugang og mga structure
name tag,Name Tag,Іменний тег,Nombre De La Etiqueta,命名牌,test,Name Tag,Name Tag
offset,Offset,Зсув,Desplazamiento,偏移量,test,Offset,Offset
corner,Corner,Кут,Esquina,角落,test,Sulok,Eskina
icon,Icon File,Файл піктограми,Archivo de icono,图标文件,test,Icon File,Icon File
update,Update,Оновити,Actualizar,更新,test,I-update,I-update
browse,Browse,Вибрати,Buscar,浏览,test,Maghanap,Pangita
packname,Pack Name,Назва пакунку,Nombre Del Paquete,包名,test,Pangalan ng Pack,Ngalan sa Pack
advance,Advanced,Просунуті,Avanzado,高级设置,test,Advanced,Advanced
lists,Make Block Lists,Створити список блоків,Crear Lista De Bloques,生成方块清单,test,Gumawa ng Block List,Paghimo og Block List
bigbuild,Big Build Mode,Режим масштабного будівництва,Modo De Construcción Grande,大建筑模式,test,Big Build Mode,Big Build Mode
remove,Remove Model,Прибрати модель,Remover Modelo,移除模型,test,Alisin ang Model,Kuhaa ang Model
makepack,Make Pack,Зробити пакунок,Crear Paquete,制作包,test,Gumawa ng Pack,Paghimo og Pack
addmodel,Add Model,Додати модель,Añadir Modelo,添加模型,test,Magdagdag ng Model,Pagdugang og Model
getcords,Get Global Cords,Встановити глобальні координати,Obtener Coordenadas Globales,获取全局坐标,test,Kunin ang Global Cords,Kuhaa ang Global Cords
transparency,Transparency,Прозорість,Transparencia,透明度,test,Transparency,Transparency
structurefile,Structure file,Файл структури,Archivo de estructura,结构文件,test,Structure file,Structure file
language,Language,Мова,idioma,语言,test,Wika,Pinulongan
no name tag,You need a Name Tag,Вам потрібен іменний тег,Necesitas un nombre de etiqueta,需填写命名牌,test,Kailangan ng Name Tag,Kinahanglan og Name Tag
techpack,Bundle TechPack,Вкласти TechPack,Incluir TechPack,捆绑 TechPack,test,Isama ang TechPack,Iapil ang TechPack
settings,Settings,Налаштування,Ajustes,设置,test,Mga Setting,Mga Setting
packicon,Pack icon,Піктограма,Icono,包图标,test,Icon ng pack,Icon sa pack
description,Description,Опис,Descripción,描述,test,Paglalarawan,Paghulagway
description hint,"Optional, shown in game","Необов'язково, видно у грі","Opcional, visible en el juego",可选，游戏内显示,test,"Opsyonal, makikita sa laro","Opsyonal, makita sa dula"
blocktransparency,Block Transparency,Прозорість блоків,Transparencia de bloques,方块透明度,test,Transparency ng Block,Transparency sa Block
theme,Theme,Тема,Tema,主题,test,Tema,Tema
system,System,Системна,Sistema,跟随系统,test,Sistema,Sistema
light,Light,Світла,Claro,浅色,test,Maliwanag,Hayag
dark,Dark,Темна,Oscuro,深色,test,Madilim,Ngitngit
optional,optional,необов'язково,opcional,可选,test,opsyonal,opsyonal
required,required,обов'язково,obligatorio,必填,test,kailangan,kinahanglan
dropfiles,Add or drop an .mcstructure file to include in this pack,Додайте або перетягніть файл .mcstructure до цього пакунка,Añade o arrastra un archivo .mcstructure para este paquete,添加或拖入 .mcstructure 文件以加入此包,test,Magdagdag o mag-drop ng .mcstructure file para sa pack na ito,Pagdugang o i-drop ang .mcstructure file para niini nga pack
structures,Structures,Структури,Estructuras,结构,test,Mga Structure,Mga Structure
remove file,Remove,Прибрати,Quitar,移除,test,Alisin,Kuhaa
open folder,Show in folder,Показати в теці,Mostrar en carpeta,在文件夹中显示,test,Ipakita sa folder,Ipakita sa folder
close,Close,Закрити,Cerrar,关闭,test,Isara,Sirad-i
bigbuildoffset,Big Build Offset,Зсув масштабної будівлі,Desplazamiento de construcción grande,大建筑偏移,test,Offset ng Big Build,Offset sa Big Build
status ready,Ready,Готово,Listo,就绪,test,Handa na,Andam na
status added,Added {},Додано {},Añadido {},已添加 {},test,Naidagdag ang {},Nadugang ang {}
status removed,Removed {},Прибрано {},Quitado {},已移除 {},test,Inalis ang {},Gikuha ang {}
status building,Building {}...,Створення {}...,Creando {}...,正在生成 {}…,test,Ginagawa ang {}...,Gihimo ang {}...
status reading,Reading {}...,Читання {}...,Leyendo {}...,正在读取 {}…,test,Binabasa ang {}...,Gibasa ang {}...
status packing,Packing {}...,Пакування {}...,Empaquetando {}...,正在打包 {}…,test,Binabalot ang {}...,Giputos ang {}...
status built,Built {},Створено {},Creado {},已生成 {},test,Nagawa ang {},Nahimo ang {}
status failed,Build failed: {},Помилка: {},Error: {},生成失败：{},test,Nabigo ang paggawa: {},Napakyas ang paghimo: {}
status skipped,{} blocks could not be built,{} блоків не вдалося створити,No se pudieron crear {} bloques,{} 个方块无法生成,test,{} na block ang hindi nagawa,{} ka block ang wala nahimo
status theme,Theme set to {},Тему змінено на {},Tema: {},主题已设为 {},test,Tema ay {},Ang tema kay {}
status language,Language set to {},Мову змінено на {},Idioma: {},语言已设为 {},test,Wika ay {},Ang pinulongan kay {}
status icon,Icon set to {},Піктограму змінено на {},Icono: {},图标已设为 {},test,Icon ay {},Ang icon kay {}
need pack name,Pack name is required,Потрібна назва пакунка,Se requiere un nombre,需填写包名,test,Kailangan ang pangalan ng pack,Kinahanglan ang ngalan sa pack
need structure,Add at least one structure,Додайте хоча б одну структуру,Añade al menos una estructura,请至少添加一个结构,test,Magdagdag ng kahit isang structure,Pagdugang og labing menos usa ka structure
need nametag,Name tags are required with more than one structure,"Іменні теги обов'язкові, якщо структур більше однієї",Las etiquetas son obligatorias con más de una estructura,多个结构时必须填写命名牌,test,Kailangan ang mga name tag kapag mahigit isa ang structure,Kinahanglan ang name tag kung sobra sa usa ang structure
duplicate nametag,Name tags must be unique,Іменні теги мають бути унікальними,Las etiquetas deben ser únicas,命名牌必须唯一,test,Dapat natatangi ang mga name tag,Ang mga name tag kinahanglan talagsaon
pack built,Pack built,Пакунок створено,Paquete creado,包已生成,test,Nagawa na ang pack,Nahimo na ang pack
blocks skipped,Blocks skipped,Блоків пропущено,Bloques omitidos,已跳过方块,test,Mga block na nilaktawan,Mga block nga gilaktawan
output folder,Output folder,Тека виводу,Carpeta de salida,输出文件夹,test,Folder ng output,Folder sa output
choose folder,Choose folder,Обрати теку,Elegir carpeta,选择文件夹,test,Pumili ng folder,Pagpili og folder
status output,Output folder set to {},Теку виводу змінено на {},Carpeta de salida: {},输出文件夹已设为 {},test,Output folder ay {},Ang output folder kay {}
help,Help,Довідка,Ayuda,帮助,test,Tulong,Tabang
about,About,Про програму,Acerca de,关于,test,Tungkol,Mahitungod
about body,Made by Evil Slime Labs. Structura turns .mcstructure files into Bedrock resource packs.,Створено Evil Slime Labs. Structura перетворює файли .mcstructure на пакунки ресурсів Bedrock.,Hecho por Evil Slime Labs. Structura convierte archivos .mcstructure en paquetes de recursos de Bedrock.,由 Evil Slime Labs 制作。Structura 将 .mcstructure 文件转换为 Bedrock 资源包。,test,Ginawa ng Evil Slime Labs. Structura ay gumagawa ng Bedrock resource pack mula sa .mcstructure files.,Gihimo sa Evil Slime Labs. Ang Structura naghimo og Bedrock resource pack gikan sa .mcstructure files.
website,Website,Сайт,Sitio web,网站,test,Website,Website
report issue,Report an issue,Повідомити про проблему,Reportar un problema,报告问题,test,Mag-ulat ng isyu,Ireport ang isyu
original authors,Original authors,Оригінальні автори,Autores originales,Autores originales,test,Orihinal na may-akda,Orihinal nga mga tagsulat
axis x,X,X,X,X,test,X,X
axis y,Y,Y,Y,Y,test,Y,Y
axis z,Z,Z,Z,Z,test,Z,Z
clear icon,Use the default icon,Стандартна піктограма,Usar el icono predeterminado,使用默认图标,test,Gamitin ang default na icon,Gamita ang default nga icon
change file,Change file,Змінити файл,Cambiar archivo,更改文件,test,Palitan ang file,Ilisan ang file
clear all,Clear all,Очистити все,Borrar todo,全部清除,test,Alisin lahat,Kuhaa tanan
reset settings,Reset settings,Скинути налаштування,Restablecer ajustes,重置设置,test,I-reset ang mga setting,I-reset ang mga setting
clear description,Clear the description,Очистити опис,Borrar la descripción,清除描述,test,Alisin ang paglalarawan,Kuhaa ang paghulagway
status cleared,Cleared {},Очищено {},Borrado {},已清除 {},test,Nalinis ang {},Nalimpyohan ang {}
status reset,Settings reset,Налаштування скинуто,Ajustes restablecidos,设置已重置,test,Na-reset ang mga setting,Na-reset ang mga setting
list header,Blocks needed for this build,"Блоки, потрібні для цієї будівлі",Bloques necesarios para esta construcción,此建筑所需的方块,test,Mga block na kailangan para sa build na ito,Mga block nga gikinahanglan para niini nga build
list footer,Built with,Створено за допомогою,Creado con,生成工具,test,Ginawa gamit ang,Gihimo gamit ang
reset,Reset,Скинути,Restablecer,重置,test,I-reset,I-reset
